geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.LNKUPT	G	*	G	*	GPPL--	LINKUP POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.PSSPNT	G	*	G	*	GPPP--	PASSAGE POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.RAYPNT	G	*	G	*	GPPR--	RALLY POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.RELPNT	G	*	G	*	GPPE--	RELEASE POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.STRPNT	G	*	G	*	GPPS--	START POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.AMNPNT	G	*	G	*	GPPA--	AMNESTY POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.WAP	G	*	G	*	GPPW--	WAYPOINT	
POINT	TACGRP.C2GM.GNL.PNT.SCTL	G	*	G	*	GPC---	SEA SURFACE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.USV	G	*	G	*	GPCU--	UNMANNED SURFACE VEHICLE (USV) CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.USV.RMV	G	*	G	*	GPCUR-	REMOTE MULTIMISSION VEHICLE (RMV) USV CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.USV.ASW	G	*	G	*	GPCUA-	USV - ANTISUBMARINE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.USV.SUW	G	*	G	*	GPCUS-	USV - SURFACE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.USV.MIW	G	*	G	*	GPCUM-	USV - MINE WARFARE CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.ASW	G	*	G	*	GPCA--	ASW CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.SUW	G	*	G	*	GPCS--	SUW CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.MIW	G	*	G	*	GPCM--	MIW CONTROL STATION	
POINT	TACGRP.C2GM.GNL.PNT.SCTL.PKT	G	*	G	*	GPCP--	PICKET CONTROL STATION	
