hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
EMS.INFSTR.ENGFAC.NTLGAS 	E	*	F	*	EB----	NATURAL GAS FACILITY	
EMS.INFSTR.ENGFAC.NUCFAC 	S	*	G	*	IUEN--	NUCLEAR FACILITY	
EMS.INFSTR.ENGFAC.PETFAC 	S	*	G	*	IRP---	PETROLEUM FACILITY	
EMS.INFSTR.ENGFAC.PROPNE 	E	*	F	*	EE----	PROPANE FACILITY	
EMS.INFSTR.GVTSTE 	E	*	F	*	F-----	GOVERNMENT SITE INFRASTRUCTURE	
EMS.INFSTR.MIL 	E	*	F	*	G-----	MILITARY INFRASTRUCTURE	
EMS.INFSTR.MIL.ARMORY 	E	*	F	*	GA----	MILITARY ARMORY	
EMS.INFSTR.MIL.MILBF 	S	*	G	*	IB----	MILITARY BASE	
EMS.INFSTR.PSTSRV 	E	*	F	*	H-----	POSTAL SERVICE INFRASTRUCTURE	
EMS.INFSTR.PSTSRV.PDC 	E	*	F	*	HA----	POSTAL DISTRIBUTION CENTER	
EMS.INFSTR.PSTSRV.PO 	E	*	F	*	HB----	POST OFFICE	
EMS.INFSTR.PUBVEN 	E	*	F	*	I-----	PUBLIC VENUES INFRASTRUCTURE	
EMS.INFSTR.PUBVEN.ENCFAC 	E	*	F	*	IA----	ENCLOSED FACILITY	
EMS.INFSTR.PUBVEN.OPNFAC 	E	*	F	*	IB----	OPEN FACILITY	
EMS.INFSTR.PUBVEN.RECARE 	E	*	F	*	IC----	RECREATIONAL AREA	
EMS.INFSTR.PUBVEN.RELIG 	E	*	F	*	ID----	RELIGIOUS INSTITUTION	
EMS.INFSTR.SPCNDS 	E	*	F	*	J-----	SPECIAL NEEDS INFRASTRUCTURE	
EMS.INFSTR.SPCNDS.ADLTDC 	E	*	F	*	JA----	ADULT DAY CARE	
EMS.INFSTR.SPCNDS.CHLDDC 	E	*	F	*	JB----	CHILD DAY CARE	
EMS.INFSTR.SPCNDS.ELDERC 	E	*	F	*	JC----	ELDER CARE	
EMS.INFSTR.TELCOM 	E	*	F	*	K-----	TELECOMMUNICATIONS INFRASTRUCTURE	
EMS.INFSTR.TELCOM.TCF 	S	*	G	*	IUT---	TELECOMMUNICATIONS FACILITY	
EMS.INFSTR.TELCOM.TCTWR 	E	*	F	*	KB----	TELECOMMUNICATIONS TOWER	
EMS.INFSTR.TSP 	S	*	G	*	IT----	TRANSPORTATION INFRASTRUCTURE	
EMS.INFSTR.TSP.ATCF 	E	*	F	*	LA----	AIR TRAFFIC CONTROL FACILITY	
EMS.INFSTR.TSP.AIRPT 	S	*	G	*	IBA---	AIRPORT	
EMS.INFSTR.TSP.BRG 	G	*	M	*	BCB---	BRIDGE	
EMS.INFSTR.TSP.BSTN 	E	*	F	*	LD----	BUS STATION	
EMS.INFSTR.TSP.FRYTRM 	E	*	F	*	LE----	FERRY TERMINAL	
EMS.INFSTR.TSP.HLS 	E	*	F	*	LF----	HELICOPTER LANDING SITE	
EMS.INFSTR.TSP.LCK 	W	O	S	-	ML----	LOCK	
EMS.INFSTR.TSP.MAINTF 	E	*	F	*	LH----	MAINTENANCE FACILITY	
EMS.INFSTR.TSP.SP 	S	*	G	*	IBN---	PORT	
EMS.INFSTR.TSP.RLSTN 	E	*	F	*	LJ----	RAIL STATION	
EMS.INFSTR.TSP.RSTSTP 	E	*	F	*	LK----	REST STOP	
EMS.INFSTR.TSP.ANCRG 	W	O	S	-	HPBA--	SHIP ANCHORAGE	
EMS.INFSTR.TSP.TOLLF 	E	*	F	*	LM----	TOLL FACILITY	
EMS.INFSTR.TSP.TCP 	G	*	S	*	PO----	TRAFFIC CONTROL POINT	
EMS.INFSTR.TSP.TIF 	E	*	F	*	LO----	TRAFFIC INSPECTION FACILITY	
EMS.INFSTR.TSP.TNL 	E	*	F	*	LP----	TUNNEL	
EMS.INFSTR.WS 	S	*	G	*	IUP---	WATER SUPPLY INFRASTRUCTURE	
EMS.INFSTR.WS.CV 	E	*	F	*	MA----	CONTROL VALVE	
EMS.INFSTR.WS.DAM 	E	*	F	*	MB----	DAM	
EMS.INFSTR.WS.DO 	E	*	F	*	MC----	DISCHARGE OUTFALL	
EMS.INFSTR.WS.GWWELL 	E	*	F	*	MD----	GROUND WATER WELL	
EMS.INFSTR.WS.PMPSTN 	E	*	F	*	ME----	PUMPING STATION	
EMS.INFSTR.WS.RSVR 	E	*	F	*	MF----	RESERVOIR	
EMS.INFSTR.WS.STRTWR 	E	*	F	*	MG----	STORAGE TOWER	
EMS.INFSTR.WS.SWI 	E	*	F	*	MH----	SURFACE WATER INTAKE	
EMS.INFSTR.WS.WH20TF 	E	*	F	*	MI----	WASTEWATER TREATMENT FACILITY	
