hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CBT.ISF.RIV 	S	*	G	*	UCSW--	RIVERINE	
GRDTRK.UNT.CBT.ISF.GRD 	S	*	G	*	UCSG--	GROUND	
GRDTRK.UNT.CBT.ISF.GRD.DMD 	S	*	G	*	UCSGD-	DISMOUNTED GROUND	
GRDTRK.UNT.CBT.ISF.GRD.MOT 	S	*	G	*	UCSGM-	MOTORIZED GROUND	
GRDTRK.UNT.CBT.ISF.GRD.MECH 	S	*	G	*	UCSGA-	MECHANIZED GROUND	
GRDTRK.UNT.CBT.ISF.WHMECH 	S	*	G	*	UCSM--	WHEELED MECHANIZED	
GRDTRK.UNT.CBT.ISF.RALRD 	S	*	G	*	UCSR--	RAILROAD	
GRDTRK.UNT.CBT.ISF.AVN 	S	*	G	*	UCSA--	AVIATION	
GRDTRK.UNT.CS 	S	*	G	*	UU----	COMBAT SUPPORT	
GRDTRK.UNT.CS.CBRN 	S	*	G	*	UUA---	COMBAT SUPPORT CBRN	
GRDTRK.UNT.CS.CBRN.CML 	S	*	G	*	UUAC--	CHEMICAL	
GRDTRK.UNT.CS.CBRN.CML.SMKDEC 	S	*	G	*	UUACC-	SMOKE/DECON	
GRDTRK.UNT.CS.CBRN.CML.SMKDEC.MECH 	S	*	G	*	UUACCK	MECHANIZED SMOKE/DECON	
GRDTRK.UNT.CS.CBRN.CML.SMKDEC.MOT 	S	*	G	*	UUACCM	MOTORIZED SMOKE/DECON	
GRDTRK.UNT.CS.CBRN.CML.SMK 	S	*	G	*	UUACS-	SMOKE	
GRDTRK.UNT.CS.CBRN.CML.SMK.MOT 	S	*	G	*	UUACSM	MOTORIZED SMOKE	
GRDTRK.UNT.CS.CBRN.CML.SMK.ARM 	S	*	G	*	UUACSA	ARMOR SMOKE	
GRDTRK.UNT.CS.CBRN.CML.RECON 	S	*	G	*	UUACR-	CHEMICAL RECON	
GRDTRK.UNT.CS.CBRN.CML.RECON.WARMVH 	S	*	G	*	UUACRW	CHEMICAL WHEELED ARMORED VEHICLE	
GRDTRK.UNT.CS.CBRN.CML.RECON.WAVS 	S	*	G	*	UUACRS	CHEMICAL WHEELED ARMORED VEHICLE RECONNAISSANCE 	
GRDTRK.UNT.CS.CBRN.NUC 	S	*	G	*	UUAN--	NUCLEAR	
GRDTRK.UNT.CS.CBRN.BIO 	S	*	G	*	UUAB--	BIOLOGICAL	
GRDTRK.UNT.CS.CBRN.BIO.RECEQP 	S	*	G	*	UUABR-	RECON EQUIPPED	
GRDTRK.UNT.CS.CBRN.DECON 	S	*	G	*	UUAD--	DECONTAMINATION	
GRDTRK.UNT.CS.MILINT 	S	*	G	*	UUM---	MILITARY INTELLIGENCE	
GRDTRK.UNT.CS.MILINT.AEREXP 	S	*	G	*	UUMA--	AERIAL EXPLOITATION	
GRDTRK.UNT.CS.MILINT.SIGINT 	S	*	G	*	UUMS--	SIGNAL INTELLIGENCE (SIGINT)	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW 	S	*	G	*	UUMSE-	ELECTRONIC WARFARE	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.ARMWVH 	S	*	G	*	UUMSEA	ARMORED WHEELED VEHICLE	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.DFN 	S	*	G	*	UUMSED	DIRECTION FINDING	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.INC 	S	*	G	*	UUMSEI	INTERCEPT	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.JMG 	S	*	G	*	UUMSEJ	JAMMING	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.THT 	S	*	G	*	UUMSET	THEATER	
GRDTRK.UNT.CS.MILINT.SIGINT.ECW.CRP 	S	*	G	*	UUMSEC	CORPS	
GRDTRK.UNT.CS.MILINT.CINT 	S	*	G	*	UUMC--	COUNTERINTELLIGENCE	
GRDTRK.UNT.CS.MILINT.SVL 	S	*	G	*	UUMR--	SURVEILLANCE	
GRDTRK.UNT.CS.MILINT.SVL.GRDSR 	S	*	G	*	UUMRG-	GROUND SURVEILLANCE RADAR	
GRDTRK.UNT.CS.MILINT.SVL.SNS 	S	*	G	*	UUMRS-	SENSOR	
GRDTRK.UNT.CS.MILINT.SVL.SNS.SCM 	S	*	G	*	UUMRSS	SENSOR SCM	
GRDTRK.UNT.CS.MILINT.SVL.GRDSM 	S	*	G	*	UUMRX-	GROUND STATION MODULE	
GRDTRK.UNT.CS.MILINT.SVL.METO 	S	*	G	*	UUMMO-	METEOROLOGICAL	
GRDTRK.UNT.CS.MILINT.OPN 	S	*	G	*	UUMO--	OPERATIONS	
GRDTRK.UNT.CS.MILINT.TACEXP 	S	*	G	*	UUMT--	TACTICAL EXPLOIT	
GRDTRK.UNT.CS.MILINT.INTGN 	S	*	G	*	UUMQ--	INTERROGATION	
